"id","x","y"
"201",108,25
"201",107,28
"201",115,31
"201",120,32
"201",129,33
"201",129,15
"201",120,15
"201",114,19
"201",110,23
"201",108,25
"202",151,29
"202",149,25
"202",145,20
"202",140,17
"202",133,15
"202",129,15
"202",130,32
"202",139,32
"202",147,30
"202",151,29
"203",129,78
"203",129,33
"203",119,33
"203",111,31
"203",107,29
"203",105,31
"203",105,45
"203",104,44
"203",102,45
"203",101,46
"203",100,51
"203",103,56
"203",106,60
"203",109,63
"203",109,68
"203",110,73
"203",114,76
"203",124,78
"203",129,78
"204",130,78
"204",138,77
"204",145,76
"204",149,70
"204",151,65
"204",151,62
"204",152,61
"204",156,55
"204",158,52
"204",158,45
"204",153,45
"204",153,29
"204",146,31
"204",136,32
"204",130,33
"204",130,78
"205",114,97
"205",119,99
"205",124,101
"205",129,101
"205",129,79
"205",126,78
"205",118,77
"205",114,77
"205",114,97
"206",145,97
"206",145,77
"206",136,78
"206",130,79
"206",130,101
"206",136,101
"206",142,99
"206",145,97
"207",114,97
"207",108,102
"207",100,107
"207",91,111
"207",81,114
"207",74,118
"207",71,122
"207",69,129
"207",67,140
"207",67,161
"207",75,157
"207",80,153
"207",86,149
"207",92,143
"207",97,137
"207",102,131
"207",106,124
"207",110,117
"207",113,111
"207",116,105
"207",117,102
"207",117,99
"207",114,97
"208",129,102
"208",129,154
"208",110,155
"208",97,153
"208",88,153
"208",85,150
"208",92,144
"208",96,138
"208",100,134
"208",103,128
"208",107,124
"208",109,119
"208",111,116
"208",113,112
"208",115,108
"208",117,103
"208",118,103
"208",117,99
"208",123,101
"208",129,102
"209",173,150
"209",170,152
"209",152,155
"209",130,154
"209",130,101
"209",134,101
"209",138,100
"209",140,100
"209",142,105
"209",145,112
"209",150,121
"209",156,129
"209",160,136
"209",163,139
"209",166,143
"209",173,150
"210",192,161
"210",192,145
"210",190,130
"210",187,123
"210",184,118
"210",179,115
"210",172,112
"210",164,110
"210",157,107
"210",150,101
"210",146,97
"210",140,100
"210",145,110
"210",148,115
"210",150,120
"210",154,127
"210",159,133
"210",163,139
"210",166,142
"210",170,147
"210",175,151
"210",181,155
"210",186,159
"210",190,161
"210",192,161
"211",61,198
"211",63,186
"211",65,173
"211",67,165
"211",67,161
"211",73,159
"211",76,157
"211",80,155
"211",83,152
"211",85,151
"211",88,154
"211",90,161
"211",89,177
"211",88,184
"211",87,190
"211",85,196
"211",84,200
"211",80,197
"211",76,196
"211",69,196
