"id","x","y"
"101",116,27
"101",118,23
"101",121,20
"101",125,17
"101",129,15
"101",134,14
"101",139,13
"101",139,31
"101",132,31
"101",124,30
"101",116,27
"102",140,13
"102",150,15
"102",156,17
"102",160,22
"102",163,27
"102",149,31
"102",140,31
"102",140,13
"103",139,78
"103",126,77
"103",122,76
"103",118,66
"103",117,61
"103",111,55
"103",110,47
"103",110,45
"103",112,43
"103",114,43
"103",115,44
"103",115,30
"103",116,28
"103",123,30
"103",125,30
"103",133,31
"103",139,32
"103",139,78
"104",163,28
"104",154,30
"104",146,32
"104",140,32
"104",140,78
"104",147,78
"104",155,76
"104",158,72
"104",160,68
"104",161,64
"104",162,62
"104",168,53
"104",169,49
"104",169,45
"104",168,43
"104",164,44
"104",164,31
"104",163,28
"105",123,77
"105",132,78
"105",139,79
"105",139,102
"105",134,102
"105",128,100
"105",123,97
"105",123,77
"106",140,79
"106",140,102
"106",145,102
"106",151,100
"106",155,98
"106",155,77
"106",147,79
"106",140,79
"107",122,97
"107",117,103
"107",110,108
"107",101,111
"107",93,113
"107",87,116
"107",83,119
"107",80,122
"107",78,128
"107",75,138
"107",74,150
"107",74,164
"107",85,158
"107",93,153
"107",99,147
"107",105,140
"107",110,133
"107",115,125
"107",120,117
"107",126,105
"107",128,101
"107",122,97
"108",139,103
"108",139,180
"108",132,182
"108",127,183
"108",122,186
"108",118,189
"108",114,192
"108",104,192
"108",99,191
"108",97,188
"108",98,171
"108",97,158
"108",95,154
"108",94,153
"108",103,143
"108",111,132
"108",117,123
"108",122,113
"108",127,104
"108",128,101
"108",134,103
"108",139,103
"109",151,101
"109",146,103
"109",140,103
"109",140,180
"109",147,182
"109",153,184
"109",157,186
"109",163,191
"109",167,193
"109",178,193
"109",181,191
"109",182,186
"109",181,178
"109",181,165
"109",181,161
"109",182,156
"109",183,154
"109",186,153
"109",180,147
"109",175,142
"109",169,134
"109",160,121
"109",156,111
"109",151,101
"110",205,163
"110",195,159
"110",188,154
"110",179,147
"110",172,137
"110",164,127
"110",159,116
"110",155,108
