"id","x","y"
"101",140,43
"101",140,19
"101",140,18
"101",132,18
"101",126,20
"101",121,22
"101",118,26
"101",115,30
"101",114,34
"101",115,39
"101",126,41
"101",130,42
"101",140,43
"102",165,40
"102",165,31
"102",162,25
"102",158,21
"102",153,19
"102",147,18
"102",141,18
"102",141,42
"102",152,42
"102",159,41
"102",165,40
"103",114,40
"103",130,43
"103",140,43
"103",140,84
"103",123,80
"103",118,75
"103",117,66
"103",109,55
"103",109,49
"103",110,47
"103",113,47
"103",116,50
"103",115,46
"103",114,40
"104",141,84
"104",150,83
"104",156,81
"104",160,78
"104",163,72
"104",163,66
"104",170,56
"104",172,49
"104",170,47
"104",167,47
"104",164,49
"104",165,46
"104",165,41
"104",149,42
"104",141,43
"104",141,84
"105",140,108
"105",140,85
"105",125,81
"105",122,81
"105",122,96
"105",119,99
"105",129,105
"105",140,108
"106",158,81
"106",158,98
"106",160,99
"106",150,106
"106",144,108
"106",141,108
"106",141,85
"106",148,84
"106",154,82
"106",158,81
"107",119,99
"107",94,111
"107",81,114
"107",73,118
"107",67,125
"107",65,133
"107",61,148
"107",62,163
"107",78,157
"107",93,146
"107",101,138
"107",113,125
"107",122,109
"107",125,103
"107",119,99
"108",140,195
"108",140,109
"108",131,106
"108",125,103
"108",116,121
"108",109,130
"108",101,139
"108",93,147
"108",85,153
"108",90,162
"108",91,170
"108",91,180
"108",90,187
"108",92,197
"108",93,210
"108",94,216
"108",111,216
"108",117,215
"108",121,213
"108",125,206
"108",130,200
"108",134,196
"108",140,195
"109",155,103
"109",162,115
"109",171,128
"109",177,135
"109",188,146
"109",197,153
"109",193,160
"109",190,171
"109",190,182
"109",191,190
"109",188,208
"109",187,216
"109",171,216
"109",164,214
"109",160,212
"109",157,206
"109",152,200
"109",147,197
"109",145,195
"109",141,195
"109",141,109
"109",146,107
"109",151,105
"109",155,103
"110",219,162
"110",205,157
"110",199,153
"110",190,147
"110",181,138
"110",173,130
"110",167,121
"110",162,113
"110",156,103
"110",160,99
"110",169,102
"110",180,107
"110",187,111
"110",195,113
"110",203,115
"110",210,121
"110",214,127
"110",217,134
"110",220,145
"110",219,162
"111",85,207
"111",89,187
"111",91,180
"111",91,170
"111",89,162
"111",85,153
"111",77,158
"111",67,162
"111",62,163
"111",62,169
"111",63,178
"111",62,185
"111",62,204
"111",69,203
"111",69,202
"111",77,203
"111",80,204
"111",85,207
"112",220,205
"112",211,203
"112",205,203
"112",199,206
"112",197,208
"112",193,195
"112",191,183
"112",189,172
"112",192,161
"112",197,153
"112",204,156
"112",212,160
"112",219,163
"112",218,173
"112",219,180
"112",220,194
"112",220,205
"113",81,222
"113",81,216
"113",84,208
"113",77,203
"113",69,203
"113",63,204
"113",61,205
"113",60,212
"113",55,219
"113",62,224
"113",77,224
"113",81,222
"114",200,222
"114",200,215
"114",197,208
"114",203,203
"114",212,203
"114",215,204
"114",220,205
"114",220,212
"114",225,217
"114",226,221
"114",220,224
"114",206,224
"114",200,222
"115",46,267
"115",49,251
"115",49,243
"115",51,230
"115",55,220
"115",61,224
"115",70,225
"115",78,225
"115",81,223
"115",81,235
"115",79,244
"115",76,252
"115",74,257
"115",69,267
"115",64,274
"115",61,270
"115",56,267
"115",52,267
"115",46,267
"116",95,217
"116",94,232
"116",92,240
"116",92,245
"116",92,256
"116",97,258
"116",103,261
"116",107,264
"116",111,271
"116",111,276
"116",112,287
"116",110,292
"116",116,291
"116",119,288
"116",123,285
"116",129,279
"116",129,279
"116",137,273
"116",140,273
"116",140,247
"116",140,197
"116",137,196
"116",130,200
"116",125,207
"116",120,214
"116",112,216
"116",109,216
"116",95,217
"117",171,290
"117",165,290
"117",158,286
"117",149,277
"117",145,274
"117",141,273
"117",141,196
"117",146,196
"117",151,200
"117",155,205
"117",159,212
"117",164,215
"117",169,216
"117",187,217
"117",187,231
"117",189,238
"117",189,251
"117",189,256
"117",184,258
"117",179,260
"117",176,263
"117",173,266
"117",171,271
"117",170,276
"117",171,290
"118",200,223
"118",201,239
"118",203,246
"118",209,261
"118",217,274
"118",221,270
"118",227,267
"118",233,268
"118",235,267
"118",233,254
"118",232,243
"118",230,231
"118",228,226
"118",226,221
"118",222,223
"118",218,224
"118",207,225
"118",203,224
"118",200,223
"119",56,289
"119",64,274
"119",60,270
"119",54,268
"119",46,268
"119",41,280
"119",38,282
"119",38,286
"119",39,288
"119",42,291
"119",45,292
"119",52,293
"119",56,289
"120",86,312
"120",87,291
"120",90,272
"120",91,257
"120",96,258
"120",102,261
"120",106,265
"120",110,271
"120",112,277
"120",112,289
"120",109,295
"120",106,300
"120",103,304
"120",99,307
"120",93,310
"120",86,312
"121",140,274
"121",136,274
"121",131,278
"121",126,283
"121",122,288
"121",117,290
"121",112,291
"121",110,293
"121",115,295
"121",117,297
"121",126,305
"121",131,309
"121",138,310
"121",141,310
"121",140,274
"122",170,291
"122",163,290
"122",156,283
"122",150,278
"122",145,274
"122",141,273
"122",141,310
"122",148,310
"122",152,308
"122",160,301
"122",165,296
"122",169,294
"122",172,294
"122",170,291
"123",191,269
"123",189,257
"123",184,258
"123",177,262
"123",174,267
"123",171,273
"123",170,279
"123",171,291
"123",174,295
"123",177,301
"123",182,305
"123",187,310
"123",195,313
"123",195,293
"123",193,275
"123",191,269
"124",235,268
"124",238,276
"124",242,282
"124",243,287
"124",237,292
"124",229,292
"124",226,291
"124",217,275
"124",220,271
"124",226,268
"124",235,268
"125",38,282
